what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353354625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353354625
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353354734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353371406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353414046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353548687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353548703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353640656
activated,view,com.android.ide.eclipse.ddms,0.9.8.v201008281755-53891,"com.android.ide.eclipse.ddms.views.LogCatView",1293353640687
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293353675750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293356944406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293356946078
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293356946078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293356946218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293356975593
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293356985718
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293357397281
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293357411203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293357422046
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293357424156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293357426406
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1293357426671
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1293357426937
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1293357426953
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1293357426953
stopped,bundle,com.android.ide.eclipse.adt,0.9.8.v201008281755-53891,"com.android.ide.eclipse.adt",1293357426953
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1293357426953
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1293357426953
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1293357426953
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1293357426968
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1293357426968
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1293357426968
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1293357426968
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1293357426968
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1293357426968
